"open_dataset_id","dataset_name_title","agency","posting_frequency","description","status","plan_submission_date","nys_url","catalog_category","plan_submission_date_notes"
"20","Turnstile Usage Data: 2021","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/uu7b-3kff","2. System usage",
"21","MTA Subway and Bus Vandalism","Subway,Bus","Monthly","Reflects the number of units vandalized for select elements of the subway and bus system.","Published","Complete","https://data.ny.gov/d/23fs-vfbd","4. Safety / security",
"22","MTA Access-A-Ride Ridership: Beginning 2016","AAR","Monthly","Presents Access-A-Ride ridership measured both as total trips (the count of trips provided to registered Access-A-Ride clients) and total ridership (the count of personal care attendants (PCAs) and guests who join clients on the trips).","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/fn46-66ir","2. System usage",
"23","Subway Elevator and Escalator asset and service status feeds","Subway","TBD","Provides information about planned and real-time elevators and escalator outages in the NYC subway system.","Planned - link to feeds","Q2 2022",,"9. Data feeds","Delayed while determining how to best link to real-time feeds."
"24","Hourly Bus Ridership","Bus","Weekly","This dataset provides bus ridership, compiled at the hourly level, split by OMNY and MetroCard payment methods. These ridership metrics may differ slightly but are within 1% of ridership figures provided at public MTA board meetings. Data is released on a weekly cadence and is subject to revision. You can learn more about OMNY, the contactless fare payment system for public transportation in the New York region here.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/kv7t-n8in","2. System usage","Dataset successfully published in Q2 2023. Multiple enhancements planned in Q3 and Q4 of 2023."
"25","MTA Colors","HQ","As needed","This dataset provides the official MTA colors by line and toll method.","Planned","Q3 2023",,"11. Miscellaneous","Dataset release moved from Q2 2023 to Q3 2023 by request of the data owner."
"26","Turnstile Usage Data: 2022","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/k7j9-jnct","2. System usage",
"27","MTA General Transit Feed Specification (GTFS) Static Data","Subway,Bus,LIRR,MNR","Static - Not Updated","Presents schedules and associated data (including station / bus stop locations, train lines, and bus routes) for NYCT Subway, NYCT Bus, MTA Bus, LIRR, and Metro-North in GTFS Static format.","Published","Complete","https://data.ny.gov/d/fgm6-ccue","9. Data feeds",
"28","Real-time service and service alert feeds (GTFS-realtime, SIRI, JSON)","Subway,Bus,LIRR,MNR","TBD","Provides real-time and planned service alert information for subways, buses, Long Island Rail Road, and Metro-North Railroad. This information is available in GTFS-RT (protocol buffer) and JSON formats.","Planned - link to feeds","Q2 2022",,"9. Data feeds","Delayed while determining how to best link to real-time feeds."
"29","MTA Staten Island Railway On-Time Performance","Subway","Monthly","Measures a variety of operationally critical SIR performance metrics.","Planned","Q3 2023",,"1. Operational metrics and data",
"30","NYCT Safety Metrics","Bus","Monthly","Provides customer injury and vehicle collision rates occurring on MTA's services, as reported monthly in agency performance reports.","Planned","Q3 2023",,"4. Safety / security",
"31","MTA Subway Fare Evasion","Subway","Quarterly","Contains estimated quarterly fare evasion rates for the subway.","Planned","Q3 2023",,"2. System usage","Moved back one quarter to give staff additional time to finalize the dataset documentation."
"32","MTA Bus Fare Evasion","Bus","Quarterly","Contains estimated quarterly fare evasion rates for the bus.","Planned","Q3 2023",,"2. System usage","Moved back one quarter to give staff additional time to finalize the dataset documentation."
"33","MTA LIRR Lost Time Rates: Beginning 2019","LIRR","Monthly","Provides the rate of reportable job-related injuries resulting in lost work time, used to monitor and manage workplace safety.","Published","Complete","https://data.ny.gov/d/ka57-re2h","4. Safety / security",
"34","MTA Subway Station-Complex","Subway","As needed",,"Planned","Q3 2023",,"10. Assets / geographical information",
"35","MTA Subway Major Incidents: Beginning 2015","Subway","Static - Not Updated","Major Incidents are incidents that delay 50 or more trains, which cause the most disruption to customers.","Published","Complete","https://data.ny.gov/d/ereg-mcvp","1. Operational metrics and data",
"36","MTA LIRR Service Reliability: Beginning 2015","LIRR","Monthly","Service Reliability evaluates LIRR's performance delivering timely and effective service to its customers based on a variety of metrics.","Published","Complete","https://data.ny.gov/d/x64c-i76x","1. Operational metrics and data",
"37","MTA Subway Stations","Subway","As needed",,"Planned","Q3 2023",,"10. Assets / geographical information",
"38","MTA Bus Mean Distance Between Failures: Beginning 2015","Bus","Monthly","Measures how frequently mechanical problems such as engine failures or electrical malfunctions cause delays in bus service.","Published","Complete","https://data.ny.gov/d/7mt2-y7ip","1. Operational metrics and data",
"39","MTA Subway Mean Distance Between Failures: Beginning 2015","Subway","Monthly","Measures how frequently car-related problems such as door failures, loss of motor power, or brake issues cause a delay of over five minutes.","Published","Complete","https://data.ny.gov/d/e2qc-xgxs","1. Operational metrics and data",
"40","MTA Staten Island Railway Mean Distance Between Failures","Subway","Monthly","Measures a variety of operationally critical SIR performance metrics.","Planned","Q3 2023",,"1. Operational metrics and data",
"41","MTA LIRR Mean Distance Between Failures: Beginning 2015","LIRR","Monthly","Represents the average number of miles a rail car travels before a mechanical failure causes the train to arrive at its final destination more than 5 minutes and 59 seconds later than scheduled. This measures the reliability of equipment in revenue service.","Published","Complete","https://data.ny.gov/d/cpjs-d6ua","1. Operational metrics and data",
"42","MTA Subway Service Delivered: Beginning 2015","Subway","Static - Not Updated","Service Delivered measures New York City Transit's ability to deliver the amount scheduled subway service and capacity during peak hours.","Published","Complete","https://data.ny.gov/d/32ch-sei3","1. Operational metrics and data",
"43","MTA Bus Service Delivered: Beginning 2015","Bus","Static - Not Updated","Service Delivered measures the percentage of scheduled bus service that is actually provided during peak hours.","Published","Complete","https://data.ny.gov/d/tw28-zvtk","1. Operational metrics and data",
"44","MTA Subway Customer Journey-Focused Metrics: Beginning 2015","Subway","Static - Not Updated","Measures the quality of the customer experience based on several subway journey-focused metrics, including the estimated average extra time that customers spend waiting on the platform or onboard a train, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time.","Published","Complete","https://data.ny.gov/d/r7qk-6tcy","1. Operational metrics and data",
"45","MTA Bus Customer Journey-Focused Metrics: Beginning 2017","Bus","Static - Not Updated","Measures the quality of the customer experience based on several bus journey-focused metrics, including the estimated average extra time that customers spend waiting at a bus stop or onboard a bus, as well as the estimated percentage of customer trips with a total travel time within five minutes of the scheduled time.","Published","Complete","https://data.ny.gov/d/8mkn-d32t","1. Operational metrics and data",
"46","MTA Staten Island Railway Scheduled Trips","Subway","Monthly","Measures a variety of operationally critical SIR performance metrics.","Planned","Q3 2023",,"1. Operational metrics and data",
"47","MTA LIRR Major Incidents","LIRR","Monthly",,"Planned","Q3 2023",,,
"48","MTA MNR Major Incidents","MNR","Monthly",,"Planned","Q3 2023",,,
"50","MTA Bus Speeds: Beginning 2015","Bus","Static - Not Updated","Measures how quickly buses travel along their routes, calculated as a bus’s average end-to-end speed along a route using Bus Time data.","Published","Complete","https://data.ny.gov/d/cudb-vcni","1. Operational metrics and data",
"53","MTA LIRR Service Delivered: Beginning 2019","LIRR","Monthly","Presents the total number and percentage of LIRR trains that have been canceled, either fully (Canceled) or partially (Terminated).","Published","Complete","https://data.ny.gov/d/hpua-e653","1. Operational metrics and data",
"55","MTA Subway Terminal On-Time Performance: Beginning 2015","Subway","Static - Not Updated","This dataset reflects a legacy metric that measures the percentage of trains arriving at their destination within five minutes of their scheduled arrival times.","Published","Complete","https://data.ny.gov/d/f6rf-2a3t","1. Operational metrics and data",
"57","MTA LIRR On-Time Performance: Beginning 2015","LIRR","Monthly","Determines how frequently a commuter train arrives at its final destination within 5 minutes and 59 seconds of its scheduled time, broken down by branch/line, time period, and systemwide metrics.","Published","Complete","https://data.ny.gov/d/6kq9-5ikh","1. Operational metrics and data",
"58","MTA Access-A-Ride Pickup On-Time Performance: Beginning 2016","AAR","Monthly","Measures the quality of provider service for pick-ups, comparing actual to promised pick-up time. It is measured on both 15-minute and 30-minute windows.","Published","Complete","https://data.ny.gov/d/rube-svnv","1. Operational metrics and data",
"60","MTA NYCT Paratransit Provider No-Shows: Beginning 2016","AAR","Monthly","Measures the frequency with which primary providers do not arrive at the pick-up location within 30 minutes of the promised time and the trip is not provided.","Published","Complete","https://data.ny.gov/Transportation/MTA-NYCT-Paratransit-Provider-No-Shows-Beginning-2/47iu-idvc","1. Operational metrics and data",
"61","MTA Access-A-Ride Ride Time: Beginning 2016","AAR","Monthly","Measures the quality of provider service with two metrics: (1) Ride Time Variance Performance, comparing actual trip durations to planned, and (2) Average Actual Trip Duration, calculating the average duration of all trips in a given grouping.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/wtm4-vjm7","1. Operational metrics and data",
"62","MTA Access-A-Ride Customer Complaints: Beginning 2018","AAR","Monthly","Measures customer complaints and comments on Access-A-Ride service quality at a rate per 1,000 completed trips.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/98mr-pebg","8. Customer Feedback and Surveys",
"63","MTA Access-A-Ride Customer Experience: 2018 to 2020","AAR","Static - Not Updated","Measures Access-A-Ride trip results against multiple standards, including Pick-Up On-Time Performance, Drop-Off On-Time Performance, Max Ride Time, and Provider No-Shows.","Published","Complete","https://data.ny.gov/d/qu52-5ejz","1. Operational metrics and data",
"64","MTA Access-A-Ride Call Center Performance: Beginning 2016","AAR","Monthly","Measures the percent of calls that are answered and the average speed with which those calls are answered.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/6r5t-chrj","1. Operational metrics and data",
"65","MTA Subway Wait Assessment: Beginning 2015","Subway","Static - Not Updated","This dataset reflects a legacy metric that measures how regularly subway trains are spaced during peak hours at selected timepoints on each line.","Published","Complete","https://data.ny.gov/d/s666-h6b7","1. Operational metrics and data",
"66","MTA Bus Wait Assessment: Beginning 2017","Bus","Static - Not Updated","This dataset reflects a legacy metric that measures how evenly buses are spaced.","Published","Complete","https://data.ny.gov/d/bmix-dpzc","1. Operational metrics and data",
"67","MTA Subway Elevator and Escalator Availability: Beginning 2015","Subway","Monthly","Represents the percent of the time that elevators and escalators are operational systemwide.","Published","Complete","https://data.ny.gov/d/rc78-7x78","3. Accessibility",
"69","MTA LIRR Elevator and Escalator Availability: Beginning 2019","LIRR","Monthly","Represents the percent of the time that elevators and escalators are operational systemwide.","Published","Complete","https://data.ny.gov/d/9hjt-526f","3. Accessibility",
"73","MTA Bus Wheelchair Ramp/Lift Usage: Beginning 2018","Bus","Monthly","Provides the number of wheelchair ramp or lift deployments
on buses each month.","Published - enhancements planned","Q4 2023","https://data.ny.gov/d/e2u6-bmnn","3. Accessibility",
"74","MTA Subway and Bus Reduced-Fare MetroCard Usage: Beginning 2018","Subway,Bus","Monthly","Measures the number of subway and bus journeys made each month by passengers using Reduced-Fare MetroCards.","Published","Complete","https://data.ny.gov/d/v8fq-z483","2. System usage",
"75","Adopted Budget","HQ","TBD",,"Planned","Q3 2023",,"5. Financial",
"76","Debt Outstanding","HQ","TBD","Provides a record of outstanding long-term debt and debt pay down.","Planned","Q3 2023",,"5. Financial",
"77","Farebox Recovery Ratios","HQ","TBD","Provides farebox recovery ratios, being the percentage of operating budget met by fares collected from customers.","Planned","Q2 2024",,"5. Financial",
"78","Fuel Hedging","HQ","TBD","Presents a list of fuel hedge contracts and prices for all MTA agencies.","Planned","Q3 2023",,"5. Financial",
"79","Workforce Positions by Function and Agency - budget and actuals","HQ","Monthly","Presents budgeted and actual MTA workforce positions, by job function, type, and agency.","Planned","Q3 2023",,"6. Workforce data","Moved back one quarter to finalize a reliable publication pipeline from a new, internal source."
"80","Workforce Positions by Function and Occupational Group - budget and actuals","HQ","Monthly","Presents budgeted and actual MTA workforce positions, by job function, type, and agency.","Planned","Q3 2023",,"6. Workforce data","Moved back one quarter to finalize a reliable publication pipeline from a new, internal source."
"81","Accrual Statement of Operations - budgeted","HQ","TBD","An element of the MTA Financial Plan, this dataset reflects budgeted revenues and expenses on an accrual basis (at the time revenues or expenditures are committed), by category and for all MTA agencies. The Financial Plan, which looks ahead three years, is proposed in November each year, finalized and allocated to calendar months in February, and revised in July each year.","Planned","Q1 2024",,"5. Financial",
"82","Overtime data","HQ","TBD","Provides totals for actual, estimated, and adopted overtime per MTA agency.","Planned","Q4 2023",,"6. Workforce data",
"83","Cash Basis Statement of Operations - budgeted","HQ","TBD","An element of the MTA Financial Plan, this dataset reflects budgeted revenues and expenses on a cash basis (at the time funds are received or paid out), by category and for all MTA agencies.","Planned","Q1 2024",,"5. Financial",
"85","Statement of Operations - actuals by month","HQ","TBD","An element of the MTA Financial Plan, this dataset reflects actual revenues and expenditures, by month, category, and MTA agency.","Planned","Q1 2024",,"5. Financial",
"93","MTA Workforce Diversity","DDCR","TBD","Provides statistics on the diversity within MTA's workforce, by race, gender, and job classification.","Planned","Q1 2024",,"6. Workforce data",
"94","Minority- and women-owned business utilization statistics","DDCR","TBD","Provides statistics on the utilization of minority-, women-, and service-dislabled veteran-owned, and disadvantaged businesses in MTA contracts.","Planned","Q1 2024",,"6. Workforce data",
"99","MTA Origin-Destination and Travel Surveys","Subway,Bus,AAR,LIRR,MNR","TBD","Points to the MTA website with complete data and summaries from several large customer travel behavior surveys: LIRR origin-destination survey (2012-2014), Metro-North origin-destination survey (2007 and 2017), and the New York City travel survey (2008 and 2018).","Planned - link to feeds","Q2 2022",,"8. Customer Feedback and Surveys",
"104","Historical customer occupancy data","Bus,LIRR,MNR","TBD","Provides a historical record of the occupancy data provided via MTA's real-time data feeds for NYC buses, Long Island Rail Road, and Metro-North Railroad.","Planned","Q1 2024",,"2. System usage","Planned submission date moved from Q3 2023 to move up higher priority datasets for release."
"105","MTA Daily Ridership Data: Beginning 2020","Subway,Bus,AAR,LIRR,MNR,B&T","Daily","Provides daily systemwide ridership and traffic figures for all MTA services with a percentage comparison against comparable pre-pandemic data.","Published","Complete","https://data.ny.gov/d/vxuj-8kew","2. System usage",
"106","MTA Subway Accessible Station Platform Availability: Beginning 2018","Subway","Monthly","Reflects the percentage of time during each month that the average platform at accessible stations is available to passengers who need step-free access.","Published","Complete","https://data.ny.gov/d/thh2-syn7","3. Accessibility",
"108","MTA Subway and Bus Employee Assaults and Harassments","Subway,Bus","Monthly","Reflects the weekly number of employee-reported incidents of assault and harassment against on-duty New York City Transit Subway (including Staten Island Railway) and Regional Bus Operations (NYCT Bus and MTA Bus) employees.","Published","Complete","https://data.ny.gov/d/2xh4-m2qk","4. Safety / security",
"111","MTA Bus Passenger Environment Survey: 2015 to 2019","Bus","Static - Not Updated","Combines the results of surveys of several different aspects of bus vehicle and operating conditions to measure passenger comfort and convenience.","Published","Complete","https://data.ny.gov/d/m7ag-xvyh","1. Operational metrics and data",
"112","MTA Subway Car Passenger Environment Survey: 2015 to 2019","Subway","Static - Not Updated","Combines the results of surveys of several different aspects of subway car conditions to measure passenger comfort and convenience.","Published","Complete","https://data.ny.gov/d/vyyn-j8cu","1. Operational metrics and data",
"113","MTA Subway Station Passenger Environment Survey: 2015 to 2019","Subway","Static - Not Updated","Combines the results of surveys of several different aspects of subway station conditions to measure passenger comfort and convenience.","Published","Complete","https://data.ny.gov/d/qve8-dj3u","1. Operational metrics and data",
"115","MTA LIRR Systemwide Delays: Beginning 2015","LIRR","Monthly","Reflects the number of train delays per month, broken down into identifiable categories.","Published","Complete","https://data.ny.gov/d/7wmq-pqff","1. Operational metrics and data",
"117","MTA LIRR Fare Collection Failure Rates: Beginning 2015","LIRR","Monthly","Reflects the quality of fare collection by LIRR conductors, as observed by MTA Auditors.","Published","Complete","https://data.ny.gov/d/6fc5-5xk2","2. System usage",
"119","MTA LIRR Chargebacks: Beginning 2015","LIRR","Monthly","Reflects the monthly dollar amount of chargebacks and the percentage of transactions that have been disputed with the customer receiving a refund.","Published","Complete","https://data.ny.gov/d/cdm6-cd46","2. System usage",
"120","MTA Access-A-Ride Drop-off On-Time Performance: Beginning 2016","AAR","Monthly","Measures the quality of provider service, comparing actual to customer-requested drop-off time for trips scheduled with an appointment time.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/nxai-wcbd","1. Operational metrics and data",
"121","MTA NYCT Paratransit Max Ride Time Performance: Beginning 2018","AAR","Monthly","Presents the percentage of trips performed within Access-A-Ride’s established max ride time standards.","Published","Complete","https://data.ny.gov/d/3te2-xtd4","1. Operational metrics and data",
"122","MTA Customer Feedback Performance Metrics: Beginning 2017","Subway,Bus,AAR","Monthly","Presents customer feedback metrics, including total number of customer complaints and commendations and feedback rates per 100,000 riders, for Subway, Bus, Access-A-Ride, MetroCard, and non-service issues. The data covers feedback about New York City Transit operations only at this time.","Published","Complete","https://data.ny.gov/d/hrau-ksig","8. Customer Feedback and Surveys",
"123","MTA Monthly Ridership / Traffic Data: Beginning January 2008","Subway,Bus,AAR,LIRR,MNR,B&T","Monthly","Provides ridership totals for subways, buses, LIRR, and Metro-North on a monthly basis.","Published","Complete","https://data.ny.gov/d/xfre-bxip","2. System usage",
"140","MTA Bus Mean Distance Between Service Interruptions: Beginning 2015","Bus","Monthly","This dataset reflects a monthly legacy service performance metric that indicates how frequently service interruptions cause delays in bus service.","Published","Complete","https://data.ny.gov/d/b5mc-nrji","1. Operational metrics and data",
"142","MTA Bus Weekday Pull Out Performance: Beginning 2015","Bus","Monthly","This dataset reflects a monthly legacy service performance metric that indicates the percent of required buses and operators available in the AM and PM peak periods.","Published","Complete","https://data.ny.gov/d/7nhx-5bmg","1. Operational metrics and data",
"143","MTA Bus System Fleet Age: Beginning 2015","Bus","Monthly","Provides the monthly legacy service indicators ""System Buses older than 12 years"" and ""System Fleet Age"" that characterize the age of MTA's bus fleet.","Published","Complete","https://data.ny.gov/d/kf6s-w5a7","1. Operational metrics and data",
"147","Ridership projection data","HQ","TBD","Provides MTA's projected ridership and traffic volumes by MTA operating agency coinciding with the current financial plan years, with monthly calendarized levels for the current year, and may be extended in the future to include longer-term projections. Annual ridership and traffic projections are updated in each financial plan, and monthly calanderized projections for the current year are provided in the February Financial Plan for the Adopted Budget and in September for the July Financial Plan. For the period beginning July 2020, the methodology used to project ridership and traffic volumes has been modified to align projections with MTA's pandemic recovery revenue forecasts.","Planned","Q3 2022",,"2. System usage","Dataset release is delayed while the team develops a reliable way to refresh this dataset."
"148","MTA NYCT Paratransit Registrants: Beginning 2018","AAR","Monthly","Reflects the total number of registrants for Access-A-Ride service, per time period.","Published","Complete","https://data.ny.gov/d/cxps-6wkq","2. System usage",
"149","MTA Subway Trains Delayed: Beginning 2020","Subway","Monthly","Reflects the number and percentage of subway trains delayed per weekend and weekday based on scheduled service.","Published","Complete","https://data.ny.gov/d/wx2t-qtaz","1. Operational metrics and data",
"154","Subway end-to-end running times","Subway","TBD","Provides a record of actual end-to-end running times, reported in minutes, by subway line, for peak and off-peak time periods.","Planned","Q1 2024",,"1. Operational metrics and data",
"155","Subway delay-causing incidents","Subway","TBD","Provides summary statistics about incidents that cause delay to trains, supporting the Weekday and Weekend Trains Delayed performance metrics.","Planned","Q1 2024",,"1. Operational metrics and data",
"156","Bus lane enforcement violation data","Bus","TBD","Provides statistics of violations issued by MTA's bus-mounted Automated Bus Lane Enforcement (ABLE) camera systems.","Planned","Q2 2024",,"1. Operational metrics and data",
"157","20 Year Needs Assessment data","HQ","TBD","A tabular representation of the 20-Year Needs as presented in the published document, to the appropriate level of granularity.","Planned","Q1 2024",,"7. Capital program",
"159","Additional B&T safety indicators","B&T","TBD","Presents leading Roadway Safety indicators, including workforce development, fleet preventative maintenance and safety taskforce inspection numbers, as well as Fire Safety indicators, including total number of fire code audits and FDNY liaison visits.","Planned","Q2 2024",,"4. Safety / security",
"160","Monthly gas prices and weather conditions","B&T","TBD","Provides information about monthly gas prices and weather conditions as they pertain to Bridges & Tunnels facilities.","Planned","Q2 2024",,"2. System usage",
"161","MTA Bridges & Tunnels Monthly E-ZPass Usage Rates: Beginning 2005","B&T","Monthly","Provides information about revenue and collection rates, per month and Bridges & Tunnels facility.","Published","Complete","https://data.ny.gov/d/vf6y-3my4","2. System usage",
"162","MTA Bridges & Tunnels Monthly Traffic Rates: Beginning 2005","B&T","Monthly","Provides monthly traffic information, broken down by type of toll media, type of vehicle, time period, and Bridges & Tunnels facility.","Published","Complete","https://data.ny.gov/d/dtj7-qync","2. System usage",
"163","Service alerts","Subway,Bus,LIRR,MNR","Monthly","Statistics about the type and frequency of service alerts communicated on mta.info, on digital displays, via social media, and/or via email and text message.","Planned","Q2 2023",,"11. Miscellaneous",
"164","MTA Customer Engagement Statistics: Beginning May 2017","Subway,Bus","Monthly","Statistics and performance metrics about the volume and responsiveness in engaging with customers via several customer engagement channels.","Published","Complete","https://data.ny.gov/d/6xy8-yzzu","8. Customer Feedback and Surveys",
"202","Transit Adjucation Bureau Subway and Bus violations data","Subway,Bus","TBD","Provides statistics on the violations issued and fines paid, as processed by the NYCT Transit Adjudication Bureau (TAB). TAB processes summons issued for violations of one or more of the rules governing conduct in the New York City Transit system.","Planned","Q1 2024",,"4. Safety / security",
"204","Procurement approvals","HQ","TBD","Provides a list of procurement actions approved by the MTA Board.","Planned","Q4 2023",,"11. Miscellaneous",
"206","Incidents of major crime on LIRR","LIRR","TBD","Reflects the number of MTA Police Department-reported incidents of select types of criminal activity within the LIRR and Metro-North Railroad systems.","Planned","Q3 2023",,"4. Safety / security",
"209","LIRR workplace violence, harassment, and assaults involving employees","LIRR","TBD","Provides statistics on the frequency of workplace violence assault and harassment against Long Island Rail Road and Metro-North Railroad employees.","Planned","Q4 2023",,"4. Safety / security",
"247","MTA Subway and Bus Lost Time Accidents","Subway,Bus","Monthly","The number of reportable job-related incidents that result in the inability of an employee to perform full job duties for at least one working day beyond the day of the incident, as well as a breakdown of the number of Employees and Lost Time Accident Rates.","Published","Complete","https://data.ny.gov/d/8vjt-4zv4","4. Safety / security",
"248","MTA Open Data Catalog and Publication Schedule","HQ","Quarterly","Provides a list of all currently available MTA datasets on the portal as well as datasets scheduled to be released by quarter.","Published","Complete","https://data.ny.gov/d/f462-ka72","11. Miscellaneous",
"249","MTA Metro-North Service Delivered: Beginning January 2019","MNR","Monthly","Presents the total number and percentage of MNR trains that have been canceled, either fully (Canceled) or partially (Terminated).","Published","Complete","https://data.ny.gov/d/jt9p-47ua","1. Operational metrics and data",
"250","MTA Metro-North Mean Distance Between Failures: Beginning 2018","MNR","Monthly","Represents the average number of miles a rail car travels before a mechanical failure causes the train to arrive at its final destination more than 5 minutes and 59 seconds later than scheduled. This measures the reliability of equipment in revenue service.","Published","Complete","https://data.ny.gov/d/4qd6-ptxx","1. Operational metrics and data",
